id,popularity,return,vote_average,release_year,runtime,belongs_to_collection,production_companies,production_countries,16,35,10751,12,14,10749,18,28,80,53,27,36,878,9648,10752,10402,99,37,10769,10770,en,fr,es,de,it,ja,ru,zh,pt,cn,other_lang
2,3.860491,0.0,7.1,1988,69.0,,"[2303, 2396]",['FI'],0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,9.026586,1.075,6.5,1995,98.0,,"[14, 59]",['US'],0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,5.538671,0.0,6.4,1993,110.0,,"[33, 1644, 4248]","['JP', 'US']",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,42.149697,70.49072790909091,8.1,1977,121.0,10,"[1, 306]",['US'],0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,25.497794,10.003569531914891,7.6,2003,100.0,137697,[3],['US'],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,48.307194,12.326279981818182,8.2,1994,142.0,,[4],['US'],0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,20.726578,23.753106733333333,7.9,1999,122.0,,"[27, 2721]",['US'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15,15.811921,27.64907404430249,8.0,1941,119.0,,"[6, 11447]",['US'],0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16,10.684806,3.127490546875,7.7,2000,140.0,498,"[8, 76, 119, 157, 201, 321, 591, 2996, 4524, 5358, 5755, 5975, 6916, 7025, 7330, 8659, 9349, 11239, 14937, 17513, 30268, 53667, 53668, 53669, 53670, 53671]","['AR', 'DK', 'FI', 'FR', 'DE', 'IS', 'IT', 'NL', 'NO', 'SE', 'GB', 'US']",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17,5.691508,0.0,5.6,2006,87.0,,"[47, 248, 2268, 2452]","['DE', 'GB']",0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
